name,count,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace
Aaron,3646,2.88,91.60700000000001,3.264,2.057,0.055,0.13699999999999998
Abbas,59,0.0,71.186,3.39,25.424,0.0,0.0
Abbey,57,0.0,96.491,3.509,0.0,0.0,0.0
Abbie,74,1.351,95.946,2.7030000000000003,0.0,0.0,0.0
Abby,262,1.527,94.656,1.527,2.29,0.0,0.0
Abdul,221,0.452,44.343999999999994,6.787000000000001,47.511,0.452,0.452
Abdullah,44,2.273,65.90899999999999,9.091000000000001,22.726999999999997,0.0,0.0
Abe,31,6.452000000000001,77.419,12.902999999999999,3.2260000000000004,0.0,0.0
Abel,327,82.569,12.844000000000001,2.141,2.4459999999999997,0.0,0.0
Abelardo,76,78.947,9.211,0.0,11.842,0.0,0.0
Abhijit,34,0.0,17.647000000000002,0.0,82.353,0.0,0.0
Abhishek,18,0.0,0.0,0.0,100.0,0.0,0.0
Abigail,418,12.200999999999999,81.579,1.435,4.785,0.0,0.0
Abner,41,39.024,34.146,12.195,14.634,0.0,0.0
Abraham,413,30.750999999999998,47.7,7.747999999999999,12.349,1.453,0.0
Abram,43,9.302,81.395,6.977,2.326,0.0,0.0
Ada,199,30.653000000000002,53.266000000000005,7.035,8.543,0.503,0.0
Adalberto,69,94.20299999999999,5.797000000000001,0.0,0.0,0.0,0.0
Adam,4725,1.989,96.148,0.635,1.016,0.085,0.127
Adan,146,91.781,5.479,2.055,0.685,0.0,0.0
Addie,49,2.041,67.347,26.531,2.041,2.041,0.0
Adel,77,9.091000000000001,71.429,5.195,14.286,0.0,0.0
Adela,122,63.115,28.689,0.0,8.197000000000001,0.0,0.0
Adelaida,44,52.273,13.636,0.0,34.091,0.0,0.0
Adelaide,41,12.195,75.61,12.195,0.0,0.0,0.0
Adele,193,0.518,93.78200000000001,2.591,2.591,0.0,0.518
Adelina,62,62.903,25.805999999999997,1.6130000000000002,8.065,1.6130000000000002,0.0
Adeline,66,10.606,65.152,7.5760000000000005,15.152000000000001,0.0,1.515
Adina,55,3.636,89.09100000000001,5.455,1.818,0.0,0.0
Admir,15,0.0,100.0,0.0,0.0,0.0,0.0
Adnan,66,0.0,66.667,1.515,30.303,1.515,0.0
Adolfo,179,87.15100000000001,10.056000000000001,0.5589999999999999,2.235,0.0,0.0
Adolph,44,11.364,72.727,15.909,0.0,0.0,0.0
Adria,40,10.0,90.0,0.0,0.0,0.0,0.0
Adrian,865,36.301,49.248999999999995,11.097999999999999,2.659,0.34700000000000003,0.34700000000000003
Adriana,489,62.372,35.992,0.818,0.613,0.204,0.0
Adriane,58,6.897,75.862,15.517000000000001,1.724,0.0,0.0
Adrianna,30,43.333,50.0,3.333,3.333,0.0,0.0
Adrianne,95,3.158,89.47399999999999,6.316,1.053,0.0,0.0
Adrienne,644,2.019,83.385,12.732999999999999,1.5530000000000002,0.155,0.155
Afshin,37,0.0,83.78399999999999,0.0,13.514000000000001,0.0,2.7030000000000003
Agata,48,2.083,97.917,0.0,0.0,0.0,0.0
Agatha,36,2.778,61.111000000000004,16.667,16.667,2.778,0.0
Agnes,352,3.125,67.898,10.795,17.614,0.568,0.0
Agnieszka,104,1.923,96.154,0.9620000000000001,0.9620000000000001,0.0,0.0
Agustin,239,89.958,5.858,0.418,3.766,0.0,0.0
Ahmad,163,0.613,67.485,3.681,26.38,1.227,0.613
Ahmed,176,1.136,65.34100000000001,8.523,22.726999999999997,0.0,2.273
Ahmet,32,6.25,90.625,0.0,3.125,0.0,0.0
Ai,31,3.2260000000000004,9.677,0.0,87.09700000000001,0.0,0.0
Aida,214,45.794,37.85,0.935,15.421,0.0,0.0
Aileen,186,9.14,65.59100000000001,2.151,22.581,0.0,0.5379999999999999
Aimee,611,2.782,93.45299999999999,0.327,3.11,0.16399999999999998,0.16399999999999998
Aisha,72,5.556,25.0,59.722,9.722000000000001,0.0,0.0
Ajay,154,0.649,25.325,0.649,70.779,1.9480000000000002,0.649
Ajit,68,1.4709999999999999,20.588,0.0,77.941,0.0,0.0
Akbar,31,0.0,48.387,0.0,51.613,0.0,0.0
Akiko,33,3.03,27.273000000000003,3.03,66.667,0.0,0.0
Al,92,5.435,73.913,10.87,8.696,1.087,0.0
Alain,114,14.035,66.667,10.526,7.895,0.0,0.877
Alaina,55,1.818,94.545,1.818,1.818,0.0,0.0
Alan,4795,1.5019999999999998,92.471,1.064,4.797,0.10400000000000001,0.063
Alana,153,5.229,84.96700000000001,8.497,1.307,0.0,0.0
Alane,22,0.0,100.0,0.0,0.0,0.0,0.0
Alanna,53,0.0,96.226,0.0,1.8869999999999998,1.8869999999999998,0.0
Alastair,18,0.0,100.0,0.0,0.0,0.0,0.0
Alba,113,82.301,16.814,0.0,0.885,0.0,0.0
Albert,2425,9.526,75.093,7.4639999999999995,7.546,0.20600000000000002,0.165
Alberta,132,7.5760000000000005,62.879,27.273000000000003,2.273,0.0,0.0
Alberto,674,81.306,11.128,0.445,6.825,0.297,0.0
Alden,38,7.895,78.947,2.6319999999999997,10.526,0.0,0.0
Aldo,114,58.772,37.719,0.0,3.509,0.0,0.0
Alec,109,0.0,89.90799999999999,1.835,8.257,0.0,0.0
Alecia,89,2.247,78.652,16.854,0.0,2.247,0.0
Alejandra,183,87.978,8.743,0.0,3.279,0.0,0.0
Alejandro,821,90.134,6.943,0.122,2.801,0.0,0.0
Aleksandar,30,0.0,100.0,0.0,0.0,0.0,0.0
Aleksander,33,0.0,96.97,0.0,0.0,0.0,3.03
Aleksandr,185,0.541,98.37799999999999,0.0,1.081,0.0,0.0
Aleksandra,47,0.0,100.0,0.0,0.0,0.0,0.0
Aleksey,53,0.0,96.226,0.0,3.7739999999999996,0.0,0.0
Alen,31,3.2260000000000004,90.323,0.0,6.452000000000001,0.0,0.0
Alena,58,1.724,86.20700000000001,8.621,3.448,0.0,0.0
Alene,31,0.0,87.09700000000001,6.452000000000001,3.2260000000000004,0.0,3.2260000000000004
Alesha,36,2.778,80.556,16.667,0.0,0.0,0.0
Alesia,49,6.122000000000001,61.224,32.653,0.0,0.0,0.0
Alessandra,34,8.824,91.176,0.0,0.0,0.0,0.0
Alessandro,46,4.348,89.13,2.174,4.348,0.0,0.0
Aleta,49,2.041,89.796,8.163,0.0,0.0,0.0
Alex,1371,18.964000000000002,64.406,3.136,12.982999999999999,0.21899999999999997,0.292
Alexa,78,2.5639999999999996,94.87200000000001,2.5639999999999996,0.0,0.0,0.0
Alexander,2247,8.677999999999999,81.531,2.759,6.631,0.134,0.267
Alexandr,18,0.0,100.0,0.0,0.0,0.0,0.0
Alexandra,504,10.714,85.516,1.19,1.984,0.198,0.397
Alexandre,80,10.0,83.75,2.5,3.75,0.0,0.0
Alexandria,92,7.609,84.78299999999999,2.174,4.348,1.087,0.0
Alexandru,31,6.452000000000001,93.54799999999999,0.0,0.0,0.0,0.0
Alexei,30,0.0,100.0,0.0,0.0,0.0,0.0
Alexey,21,0.0,100.0,0.0,0.0,0.0,0.0
Alexia,38,0.0,86.84200000000001,10.526,2.6319999999999997,0.0,0.0
Alexis,452,14.159,77.655,5.088,2.8760000000000003,0.0,0.221
Alf,15,0.0,100.0,0.0,0.0,0.0,0.0
Alfonso,482,78.21600000000001,13.071,3.9419999999999997,4.564,0.0,0.207
Alfred,1237,10.186,75.829,9.054,4.689,0.081,0.162
